spec.name,spec.name.ORIG,Squished,Brackets.detected,Number.detected,Unique,Matched,Fuzzy,Fuzzy.dist,OriSeq,Subseq,taxonID,scientificNameID,localID,scientificName,taxonRank,parentNameUsageID,scientificNameAuthorship,family,subfamily,tribe,subtribe,genus,subgenus,specificEpithet,infraspecificEpithet,verbatimTaxonRank,nomenclaturalStatus,namePublishedIn,taxonomicStatus,acceptedNameUsageID,originalNameUsageID,nameAccordingToID,taxonRemarks,references,source,majorGroup,tplID,Hybrid,New.accepted,Old.status,Old.ID,Old.name,One.Reason
Aquilega canadensis,Aquilega canadensis,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,1,1,wfo-0000541210,urn:lsid:ipni.org:names:30028287-2,776754,Aquilegia canadensis,species,wfo-4000002807,L.,Ranunculaceae,,,,Aquilegia,,canadensis,,species,Valid,Sp. Pl. : 533 (1753),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 533 1753 to Sp. Pl. : 533 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2644676 >The Plant L",http://www.theplantlist.org/tpl1.1/record/kew-2644676,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2644676,,FALSE,,,,Not a synonym
Silene pennsylvanica,Silene pennsylvanica,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,2,1,wfo-0001291893,urn:lsid:ipni.org:names:236240-2,6301923,Silene caroliniana subsp. pensylvanica,subspecies,wfo-0001291884,(Michx.) R.T.Clausen,Caryophyllaceae,,,,Silene,,caroliniana,pensylvanica,subspecies,Valid,Rhodora 41: 580 (1939),Accepted,,wfo-0001292405,NA,"Source in seed data: tro Update namepublishedIn from Rhodora 41(492): 580 1939 to Rhodora 41: 580 (1939), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/tro-6301923 >",http://www.theplantlist.org/tpl1.1/record/tro-6301923,The Caryophyllales TEN -The Caryophyllales Network,A,tro-6301923,,TRUE,Synonym,wfo-0001292405,Silene pensylvanica,
Linnea borealis,Linnea borealis,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,3,1,wfo-0000358023,urn:lsid:ipni.org:names:140689-2,476748,Linnaea borealis,species,wfo-4000021877,L.,Caprifoliaceae,,,,Linnaea,,borealis,,species,Valid,Sp. Pl. : 631 (1753),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Sp. Pl. 631 1753 to Sp. Pl. : 631 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew-2337127 >The Plant L",http://www.theplantlist.org/tpl1.1/record/kew-2337127,The Dipsacales TEN,A,kew-2337127,,FALSE,,,,
Pyrolla elliptica,Pyrolla elliptica,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,4,1,wfo-0000396294,urn:lsid:ipni.org:names:331810-1,549214,Pyrola elliptica,species,wfo-4000032303,Nutt.,Ericaceae,Pyroloidaea,,,Pyrola,,elliptica,,species,Valid,Gen. N. Amer. Pl. 1: 273 (1818),Accepted,,,NA,"Source in seed data: cmp Update namepublishedIn from Gen. N. Amer. Pl. 1: 273 1818 to Gen. N. Amer. Pl. 1: 273 (1818), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/",https://padme.rbge.org.uk/wfo/wfo-0000396294,The Ericaceae TEN,A,kew-2410826,,FALSE,,,,
Spirea tomentosa,Spirea tomentosa,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,5,1,wfo-0001018913,urn:lsid:ipni.org:names:324833-2,977,Spiraea tomentosa,species,wfo-4000036101,L.,Rosaceae,,,,Spiraea,,tomentosa,,species,Valid,Sp. Pl. : 489 (1753),Accepted,,,NA,"Source in seed data: rjp Update namepublishedIn from Species plantarum, edition 1 ; 1753 489 1753 to Sp. Pl. : 489 (1753), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/rec",http://www.theplantlist.org/tpl1.1/record/rjp-977,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,rjp-977,,FALSE,,,,
Linaria volgaria,Linaria volgaria,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,6,1,wfo-0000446438,urn:lsid:ipni.org:names:325777-2,635408,Linaria vulgaris,species,wfo-4000021818,Mill.,Plantaginaceae,,,,Linaria,,vulgaris,,species,Valid,"Gard. Dict., ed. 8. : n.° 1 (1768)",Accepted,,wfo-0000539345,NA,"Source in seed data: cmp Update namepublishedIn from Gard. Dict. ed. 8 1 1768 to Gard. Dict. ed. 8 : n.º 1 (1768), information provided by Alan E. on email Jun. 07 2021 More details could be found in <a href=http://www.theplantlist.org/tpl1.1/record/kew",https://powo.science.kew.org/taxon/urn:lsid:ipni.org:names:325777-2,"World Checklist of Vascular Plants. Facilitated by the Royal Botanic Gardens, Kew.",A,kew-2498895,,FALSE,,,,Not a synonym
